Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,29.375,28.875,29.25,10.364298820495605,16000
1973-02-22,0.0,29.375,29.125,29.125,10.320009231567383,7100
1973-02-23,0.0,29.25,28.75,28.75,10.187129974365234,23000
1973-02-26,0.0,28.875,28.625,28.625,10.142840385437012,6500
1973-02-27,0.0,28.875,28.75,28.75,10.187129974365234,5800
1973-02-28,0.0,28.75,28.5,28.625,10.142840385437012,5100
1973-03-01,0.0,28.625,28.125,28.25,10.009963035583496,15400
1973-03-02,0.0,28.625,28.25,28.625,10.142840385437012,6400
1973-03-05,0.0,28.75,28.375,28.375,10.054256439208984,7200
1973-03-06,0.0,28.75,28.5,28.5,10.098550796508789,3800
1973-03-07,0.0,28.75,28.375,28.375,10.054256439208984,4300
1973-03-08,0.0,28.75,28.375,28.75,10.187129974365234,5000
1973-03-09,0.0,28.875,28.5,28.625,10.142840385437012,4800
1973-03-12,0.0,28.875,28.5,28.5,10.098550796508789,18700
1973-03-13,0.0,28.625,28.375,28.5,10.098550796508789,11800
1973-03-14,0.0,28.75,28.5,28.625,10.142840385437012,4000
1973-03-15,0.0,28.625,28.375,28.5,10.098550796508789,5700
1973-03-16,0.0,28.75,28.375,28.625,10.142840385437012,5300
1973-03-19,0.0,28.75,28.25,28.375,10.054256439208984,6300
1973-03-20,0.0,28.375,28.25,28.25,10.009963035583496,20100
1973-03-21,0.0,28.5,28.25,28.25,10.009963035583496,3500
1973-03-22,0.0,28.25,28.125,28.125,9.96567153930664,19100
1973-03-23,0.0,28.375,28.125,28.125,9.96567153930664,10800
1973-03-26,0.0,28.25,28.125,28.25,10.009963035583496,9100
1973-03-27,0.0,28.5,28.25,28.25,10.009963035583496,11400
1973-03-28,0.0,28.625,28.25,28.625,10.142840385437012,3500
1973-03-29,0.0,28.625,28.375,28.5,10.098550796508789,9700
1973-03-30,0.0,28.75,28.375,28.5,10.098550796508789,1300
1973-04-02,0.0,28.5,28.25,28.5,10.098550796508789,7800
1973-04-03,0.0,28.625,28.25,28.375,10.054256439208984,4300
1973-04-04,0.0,28.375,28.125,28.125,9.96567153930664,7800
1973-04-05,0.0,28.375,28.125,28.25,10.009963035583496,5500
1973-04-06,0.0,28.5,28.0,28.0,9.921374320983887,29300
1973-04-09,0.0,27.875,27.5,27.625,9.788504600524902,10300
1973-04-10,0.0,28.0,27.75,27.875,9.877087593078613,10100
1973-04-11,0.0,28.375,28.0,28.375,10.054256439208984,4300
1973-04-12,0.0,28.25,27.75,28.125,9.96567153930664,10700
1973-04-13,0.0,28.0,27.75,28.0,10.100946426391602,5800
1973-04-16,0.0,28.0,27.75,27.875,10.055858612060547,5400
1973-04-17,0.0,28.0,27.75,27.75,10.010769844055176,8500
1973-04-18,0.0,28.0,27.75,27.75,10.010769844055176,3200
1973-04-19,0.0,28.0,27.75,27.75,10.010769844055176,11000
