Date,Open,High,Low,Close,Adj Close,Volume
1993-04-12,15.0,15.125,15.0,15.0,2.4789843559265137,24800
1993-04-13,15.0,15.125,15.0,15.0,2.4789843559265137,24100
1993-04-14,15.125,15.125,15.0,15.0,2.4789843559265137,35000
1993-04-15,15.0,15.125,15.0,15.0,2.4789843559265137,89200
1993-04-16,15.0,15.125,15.0,15.0,2.4789843559265137,40700
1993-04-19,15.125,15.125,15.0,15.0,2.4789843559265137,9700
1993-04-20,15.0,15.0,15.0,15.0,2.4789843559265137,13800
1993-04-21,15.0,15.0,15.0,15.0,2.4789843559265137,28900
1993-04-22,15.0,15.125,15.0,15.0,2.4789843559265137,25000
1993-04-23,15.0,15.125,15.0,15.0,2.4789843559265137,10400
1993-04-26,15.125,15.125,15.0,15.0,2.4789843559265137,17500
1993-04-27,15.125,15.125,15.0,15.0,2.4789843559265137,3500
1993-04-28,15.125,15.125,15.0,15.0,2.4789843559265137,10900
1993-04-29,15.0,15.0,15.0,15.0,2.4789843559265137,1900
1993-04-30,15.0,15.125,15.0,15.125,2.4996421337127686,12600
1993-05-03,15.125,15.125,15.0,15.0,2.4789843559265137,7900
1993-05-04,15.0,15.0,14.875,15.0,2.4789843559265137,40500
1993-05-05,15.0,15.125,15.0,15.125,2.4996421337127686,14500
1993-05-06,15.0,15.125,15.0,15.125,2.4996421337127686,5700
1993-05-07,15.0,15.125,15.0,15.0,2.4789843559265137,23400
1993-05-10,15.0,15.125,15.0,15.125,2.4996421337127686,9300
1993-05-11,15.125,15.125,15.0,15.0,2.4789843559265137,14600
1993-05-12,15.0,15.0,15.0,15.0,2.4789843559265137,5300
1993-05-13,15.0,15.0,15.0,15.0,2.4789843559265137,8800
1993-05-14,15.0,15.0,15.0,15.0,2.4789843559265137,3200
1993-05-17,15.125,15.125,15.0,15.0,2.4789843559265137,28600
1993-05-18,15.0,15.0,15.0,15.0,2.4789843559265137,50400
1993-05-19,15.0,15.0,15.0,15.0,2.4789843559265137,14300
1993-05-20,15.0,15.0,15.0,15.0,2.4789843559265137,23400
