Date,Open,High,Low,Close,Adj Close,Volume
1992-09-21,12.0,12.0,12.0,12.0,3.385159730911255,28500
1992-09-22,12.0,12.0,12.0,12.0,3.385159730911255,2400
1992-09-23,12.0,12.0,12.0,12.0,3.385159730911255,5800
1992-09-24,12.0,12.0,12.0,12.0,3.385159730911255,2400
1992-09-25,12.0,12.0,12.0,12.0,3.385159730911255,11500
1992-09-28,12.0,12.0,12.0,12.0,3.385159730911255,38400
1992-09-29,12.0,12.0,12.0,12.0,3.385159730911255,32100
1992-09-30,12.0,12.125,12.0,12.0,3.385159730911255,15700
1992-10-01,12.125,12.125,12.0,12.0,3.385159730911255,1700
1992-10-02,12.0,12.125,12.0,12.125,3.4204204082489014,1900
1992-10-05,12.0,12.125,12.0,12.0,3.385159730911255,11500
1992-10-06,12.125,12.125,12.0,12.0,3.385159730911255,3300
1992-10-07,12.0,12.125,12.0,12.125,3.4204204082489014,6600
1992-10-08,12.0,12.0,12.0,12.0,3.385159730911255,1400
1992-10-09,12.0,12.125,12.0,12.0,3.385159730911255,16700
1992-10-12,12.0,12.0,12.0,12.0,3.385159730911255,3000
1992-10-13,12.0,12.0,12.0,12.0,3.385159730911255,5400
1992-10-14,12.125,12.125,12.0,12.0,3.385159730911255,6900
1992-10-15,12.0,12.125,12.0,12.0,3.385159730911255,8800
1992-10-16,12.0,12.125,12.0,12.125,3.4204204082489014,7800
1992-10-19,12.0,12.0,12.0,12.0,3.385159730911255,4100
1992-10-20,12.125,12.125,12.0,12.0,3.385159730911255,6600
1992-10-21,12.0,12.0,12.0,12.0,3.385159730911255,6100
1992-10-22,12.125,12.125,12.0,12.0,3.385159730911255,3800
1992-10-23,12.0,12.125,12.0,12.125,3.4204204082489014,3500
1992-10-26,12.0,12.0,12.0,12.0,3.385159730911255,20800
1992-10-27,12.0,12.0,11.75,11.75,3.314634084701538,50300
1992-10-28,11.75,11.875,11.75,11.875,3.349898099899292,13200
1992-10-29,11.75,11.75,11.75,11.75,3.314634084701538,13000
1992-10-30,11.75,11.75,11.75,11.75,3.314634084701538,19600
1992-11-02,11.75,11.75,11.5,11.5,3.244112253189087,5200
1992-11-03,11.5,11.5,11.5,11.5,3.244112253189087,2000
1992-11-04,11.5,11.5,11.25,11.25,3.1735832691192627,5500
1992-11-05,11.25,11.25,11.25,11.25,3.1735832691192627,1600
1992-11-06,11.375,11.5,11.25,11.5,3.244112253189087,7500
1992-11-09,11.5,11.5,11.5,11.5,3.244112253189087,2600
1992-11-10,11.5,11.5,11.5,11.5,3.244112253189087,1700
1992-11-11,11.25,11.25,11.25,11.25,3.1735832691192627,400
1992-11-12,11.25,11.25,11.25,11.25,3.1735832691192627,0
1992-11-13,11.375,11.5,11.0,11.0,3.103062152862549,4300
1992-11-16,10.875,11.125,10.875,11.0,3.103062152862549,14400
1992-11-17,11.125,11.125,11.0,11.125,3.13832426071167,11000
1992-11-18,11.0,11.0,10.875,10.875,3.0678017139434814,15100
1992-11-19,11.0,11.0,10.75,10.75,3.0325372219085693,11300
1992-11-20,10.75,11.0,10.75,11.0,3.103062152862549,8700
1992-11-23,11.0,11.0,10.875,10.875,3.0678017139434814,2000
1992-11-24,11.0,11.125,11.0,11.125,3.13832426071167,2100
1992-11-25,11.125,11.125,11.125,11.125,3.13832426071167,2000
1992-11-27,11.125,11.125,11.125,11.125,3.13832426071167,2600
1992-11-30,11.0,11.375,11.0,11.375,3.2088518142700195,3400
1992-12-01,11.25,11.25,11.125,11.25,3.1735832691192627,2800
1992-12-02,11.25,11.25,11.0,11.0,3.103062152862549,5200
1992-12-03,11.25,11.375,11.0,11.25,3.1735832691192627,9900
1992-12-04,11.25,11.25,11.125,11.25,3.1735832691192627,5400
1992-12-07,11.25,11.25,11.25,11.25,3.1735832691192627,0
1992-12-08,11.375,11.375,11.375,11.375,3.2088518142700195,3700
1992-12-09,11.25,11.25,11.0,11.0,3.1178648471832275,13000
1992-12-10,10.875,11.0,10.875,11.0,3.1178648471832275,10800
1992-12-11,11.0,11.125,11.0,11.125,3.153294086456299,4700
1992-12-14,11.25,11.5,10.875,10.875,3.082434892654419,7800
1992-12-15,11.125,11.25,11.0,11.0,3.1178648471832275,9100
1992-12-16,11.25,11.375,11.0,11.25,3.1887238025665283,11300
1992-12-17,11.25,11.25,11.25,11.25,3.1887238025665283,5300
1992-12-18,11.5,11.5,11.5,11.5,3.25958514213562,11600
1992-12-21,11.25,11.375,11.25,11.25,3.1887238025665283,16800
