Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,500.0,540.0,390.0,449.0,449.0,5856
2020-09-28,455.0,455.0,405.0,452.0,452.0,538
2020-09-29,425.0,497.0,425.0,473.0,473.0,770
2020-09-30,462.0,490.0,456.0,471.0,471.0,842
2020-10-01,479.0,479.0,442.0,453.0,453.0,606
2020-10-02,440.0,449.0,439.0,449.0,449.0,178
2020-10-05,435.0,460.0,434.0,453.0,453.0,378
2020-10-06,475.0,505.0,452.0,470.0,470.0,987
2020-10-07,479.0,505.0,476.0,505.0,505.0,503
2020-10-08,519.0,525.0,485.0,488.0,488.0,612
2020-10-09,508.0,510.0,460.0,490.29998779296875,490.29998779296875,148
2020-10-12,516.0,516.0,465.0,472.0,472.0,108
2020-10-13,480.0,500.0,476.1000061035156,500.0,500.0,708
2020-10-14,505.0,550.0,500.0,526.0,526.0,1613
2020-10-15,545.0,545.0,520.0,525.0,525.0,526
2020-10-16,537.0,537.0,492.0,509.0,509.0,203
2020-10-19,510.0,510.0,495.5,508.0,508.0,155
2020-10-20,501.0,520.0,501.0,510.0,510.0,328
2020-10-21,510.0,536.0,508.0,535.0,535.0,200
2020-10-22,509.0,544.0,509.0,531.0,531.0,824
2020-10-23,531.0,535.0,520.0,535.0,535.0,328
2020-10-26,545.0,575.0,535.0,563.0,563.0,1550
2020-10-27,570.0,610.0,540.0,605.0,605.0,3488
2020-10-28,615.0,615.0,550.0,596.0,596.0,2174
2020-10-29,588.0,606.0,570.0,589.0,589.0,826
2020-10-30,590.0,590.0,555.0,580.0,580.0,583
2020-11-02,585.0,600.0,569.2000122070312,587.0,587.0,922
2020-11-03,600.0,601.0,580.0,587.0,587.0,661
2020-11-04,599.0,602.0,574.0,574.0,574.0,702
2020-11-05,586.0,605.0,561.0,568.5,568.5,299
2020-11-06,565.0,590.0,565.0,584.0,584.0,204
2020-11-09,595.0,595.0,585.0,585.0,585.0,416
2020-11-10,600.0,600.0,570.0,588.0,588.0,294
2020-11-11,594.0,600.0,575.0,594.0,594.0,501
2020-11-12,580.0,595.0,575.0,585.0,585.0,322
2020-11-13,594.0,594.0,570.0,573.0,573.0,179
2020-11-16,580.0,587.0,578.0,582.0,582.0,484
2020-11-17,576.0,590.0,576.0,582.5,582.5,237
2020-11-18,590.0,600.0,588.0,589.0,589.0,761
2020-11-19,585.0,595.0,583.0,590.0,590.0,269
2020-11-20,587.0,590.0,579.0,579.0,579.0,225
2020-11-23,599.0,610.0,589.0,605.0,605.0,727
2020-11-24,615.0,780.0,615.0,733.0,733.0,2798
2020-11-25,784.0,816.2999877929688,702.0,734.0,734.0,1689
2020-11-27,736.0,754.0,712.0,712.0,712.0,362
2020-11-30,728.0,729.0,652.0,670.0,670.0,548
2020-12-01,670.0,713.0,670.0,713.0,713.0,207
2020-12-02,709.0,725.0,690.0,697.0,697.0,241
2020-12-03,712.0,712.0,685.5,699.0,699.0,204
2020-12-04,704.0,714.0,690.0,692.0,692.0,202
2020-12-07,688.0,695.0,658.0,666.0,666.0,318
2020-12-08,657.0,700.0,657.0,700.0,700.0,206
2020-12-09,700.0,770.0,700.0,765.5,765.5,923
2020-12-10,760.0,793.7999877929688,727.0,756.0,756.0,250
2020-12-11,808.0999755859375,817.0,737.0,751.0,751.0,171
2020-12-14,958.0,980.0,800.0,830.0,830.0,932
2020-12-15,830.0,899.0,830.0,874.0,874.0,639
2020-12-16,891.0,1190.0,891.0,1050.0,1050.0,2538
2020-12-17,1066.0,1081.0,954.0999755859375,1001.0,1001.0,812
2020-12-18,1009.0,1120.0,978.0,1083.0,1083.0,750
2020-12-21,1069.0,1106.0,1022.0,1030.0,1030.0,862
2020-12-22,1040.0,1099.0,1029.0,1076.0,1076.0,507
2020-12-23,1088.0,1149.0,1071.0,1085.0,1085.0,457
2020-12-24,1085.0,1128.0,1070.0,1081.0,1081.0,104
2020-12-28,1085.0,1120.0,1067.0,1075.0,1075.0,613
2020-12-29,1089.0,1089.0,990.0,1015.5,1015.5,433
2020-12-30,1039.0,1059.0,1026.0,1059.0,1059.0,180
2020-12-31,1077.0,1093.300048828125,1060.0,1077.0,1077.0,147
2021-01-04,1100.0,1118.0,1050.0,1090.0,1090.0,937
2021-01-05,1103.0,1122.0,1080.0,1095.0,1095.0,444
2021-01-06,1084.0,1090.0,1061.0,1074.0,1074.0,287
2021-01-07,1074.0,1080.5,1000.0,1002.0,1002.0,417
2021-01-08,1002.0,1066.0,1002.0,1058.0,1058.0,179
2021-01-11,1066.0,1120.0,1066.0,1094.0,1094.0,296
2021-01-12,1115.0,1120.0,1051.0,1055.0,1055.0,479
2021-01-13,1100.0,1115.0,1081.0,1093.0,1093.0,164
2021-01-14,1115.0,1118.0,1080.0,1080.0,1080.0,191
2021-01-15,1090.0,1115.0,1062.0,1062.0,1062.0,161
2021-01-19,1087.0,1107.0,1065.5,1085.0,1085.0,333
2021-01-20,1099.0,1120.0,1064.0,1064.0,1064.0,184
2021-01-21,1086.0,1095.0,1035.0,1045.0,1045.0,262
2021-01-22,1050.0,1050.0,1005.0,1023.0,1023.0,246
2021-01-25,1040.0,1080.0,1015.0,1060.0,1060.0,437
2021-01-26,1081.0,1081.0,1010.0,1051.0,1051.0,193
2021-01-27,1056.0,1056.0,975.0,1034.0,1034.0,403
2021-01-28,1000.0,1099.5,990.0,993.0,993.0,191
2021-01-29,984.0,1082.0,927.0,1000.0,1000.0,321
2021-02-01,1019.0,1064.0,1015.0,1050.0,1050.0,403
